date,pair,side,net_return,pnl,equity,peak,drawdown
2018-02-13,EURUSD=X,SHORT,-0.00603264400061595,-180.97932001847852,99819.02067998152,100000.0,-0.0018097932001848172
2018-02-28,GBPUSD=X,SHORT,0.009914068000836983,296.88376763948696,100115.90444762101,100115.90444762101,0.0
2018-03-05,GBPUSD=X,SHORT,-0.006087253202913771,-182.829258003417,99933.0751896176,100115.90444762101,-0.001826175960874088
2018-03-06,EURUSD=X,SHORT,-0.006032471598362198,-180.85303134550864,99752.22215827208,100115.90444762101,-0.0036326125339976034
2018-03-22,EURUSD=X,SHORT,-0.006032571198710368,-180.5287147198051,99571.69344355227,100115.90444762101,-0.005435809695486071
2018-04-09,EURUSD=X,SHORT,0.0024953634927959182,74.5402706204721,99646.23371417275,100115.90444762101,-0.004691269943967624
2018-04-19,EURUSD=X,SHORT,-0.001270258853480143,-37.97295317741383,99608.26076099533,100115.90444762101,-0.005070559861857671
2018-04-27,GBPUSD=X,SHORT,0.009914306800383193,296.2640571111235,99904.52481810645,100115.90444762101,-0.0021113491475787116
2018-06-14,EURUSD=X,SHORT,0.009966120001542877,298.69814491031025,100203.22296301676,100203.22296301676,0.0
2018-06-15,GBPUSD=X,SHORT,0.00991033600184704,297.9142824094473,100501.1372454262,100501.1372454262,0.0
2018-06-22,EURUSD=X,SHORT,-0.006034514401764965,-181.9426680303845,100319.19457739581,100501.1372454262,-0.0018103543205295614
2018-06-29,EURJPY=X,LONG,0.009921535394857031,298.5961319349546,100617.79070933077,100617.79070933077,0.0
2018-07-06,EURUSD=X,SHORT,-0.006034205998113868,-182.14454286456288,100435.6461664662,100617.79070933077,-0.0018102617994342207
2018-07-13,GBPUSD=X,SHORT,0.009909502000402326,298.58017097948914,100734.2263374457,100734.2263374457,0.0
2018-07-23,EURUSD=X,SHORT,-0.006034249599547024,-182.35663948122328,100551.86969796447,100734.2263374457,-0.001810274879864071
2018-07-26,GBPUSD=X,SHORT,-0.006091572000335126,-183.7556862100399,100368.11401175443,100734.2263374457,-0.003634438254033423
2018-08-06,EURJPY=X,LONG,-0.00607728333784408,-182.98964008034102,100185.12437167409,100734.2263374457,-0.005450997002073521
2018-09-05,GBPUSD=X,SHORT,-0.00609331680025637,-183.13791044090868,100001.98646123317,100734.2263374457,-0.007269027646667148
2018-09-07,GBPUSD=X,SHORT,-0.0060929220012450195,-182.79129104335624,99819.19517018982,100734.2263374457,-0.009083617361497875
2018-10-04,EURUSD=X,SHORT,0.009965532000568626,298.42541512185954,100117.62058531168,100734.2263374457,-0.006121114685176288
2018-10-25,GBPUSD=X,SHORT,0.009907835201625222,297.5846656614327,100415.20525097311,100734.2263374457,-0.0031669582233539995
2018-11-16,GBPUSD=X,SHORT,-0.006093998404899433,-183.5790301881238,100231.626220785,100734.2263374457,-0.00498936791331539
2018-11-27,GBPUSD=X,SHORT,0.009906665202930228,297.88834911436794,100529.51456989936,100734.2263374457,-0.002032196751683757
2018-11-28,EURUSD=X,SHORT,0.009964877999355113,300.5293044070318,100830.04387430639,100830.04387430639,0.0
2018-12-10,EURUSD=X,SHORT,-0.006035224000300727,-182.55957022247674,100647.4843040839,100830.04387430639,-0.0018105672000903184
2018-12-20,EURUSD=X,SHORT,-0.006035162799548982,-182.22718594205915,100465.25711814185,100830.04387430639,-0.003617837919611344
2019-01-11,GBPUSD=X,SHORT,-0.0060942443950716355,-183.6779490275,100281.57916911435,100830.04387430639,-0.005439496841593616
2019-01-25,EURUSD=X,SHORT,0.007465818513655995,224.60522110182998,100506.18439021618,100830.04387430639,-0.003211934376364356
2019-02-14,EURUSD=X,SHORT,0.009964808398386356,300.4574610904181,100806.6418513066,100830.04387430639,-0.00023209375004296096
2019-02-14,GBPUSD=X,SHORT,0.009907244799092376,299.6148234585975,101106.2566747652,101106.2566747652,0.0
2019-02-25,AUDUSD=X,LONG,0.009859295997590035,299.050953529447,101405.30762829464,101405.30762829464,0.0
2019-03-08,EURUSD=X,SHORT,0.009964621200035897,303.13964345672,101708.44727175136,101708.44727175136,0.0
2019-03-12,GBPUSD=X,SHORT,0.009909406000553482,302.3610893105011,102010.80836106186,102010.80836106186,0.0
2019-04-01,GBPUSD=X,SHORT,-0.00609192480457481,-186.43265213684404,101824.37570892501,102010.80836106186,-0.0018275774413725188
2019-04-02,EURJPY=X,LONG,0.003907242591284164,119.35576128024974,101943.73147020527,102010.80836106186,-0.0006575469005125623
2019-04-04,EURUSD=X,SHORT,0.0024050708781737477,73.55456993140659,102017.28604013668,102017.28604013668,0.0
2019-04-11,GBPUSD=X,SHORT,0.0018996908052255294,58.14039007935312,102075.42643021603,102075.42643021603,0.0
2019-04-12,EURJPY=X,LONG,0.00992009652402322,303.7794248755722,102379.2058550916,102379.2058550916,0.0
2019-04-25,EURUSD=X,SHORT,0.009964472400660231,306.04643134337175,102685.25228643497,102685.25228643497,0.0
2019-05-15,GBPUSD=X,SHORT,0.009907761999664701,305.21431215885696,102990.46659859383,102990.46659859383,0.0
2019-05-27,EURUSD=X,SHORT,-4.685039318998875e-05,-1.447543156489357,102989.01905543734,102990.46659859383,-1.4055117957045837e-05
2019-06-17,GBPUSD=X,SHORT,0.009905463998232883,306.0462061400865,103295.06526157743,103295.06526157743,0.0
2019-06-20,EURUSD=X,SHORT,-0.006035627999377858,-187.03517642710196,103108.03008515033,103295.06526157743,-0.0018106883998133538
2019-06-25,GBPUSD=X,SHORT,-0.00609444720591882,-188.5159337580714,102919.51415139226,103295.06526157743,-0.0036357120181312874
2019-07-16,EURUSD=X,SHORT,-0.003053793107255844,-94.28847087529259,102825.22568051696,103295.06526157743,-0.004548519136617801
2019-08-22,GBPUSD=X,SHORT,-0.006098915994416547,-188.1367240597188,102637.08895645724,103295.06526157743,-0.006369871624108847
2019-08-23,EURUSD=X,SHORT,0.005439587658241862,167.49103270962507,102804.57998916687,103295.06526157743,-0.0047483901691575126
2019-09-02,GBPUSD=X,SHORT,0.00990205239918029,305.3929013785355,103109.97289054541,103295.06526157743,-0.0017918800918834688
2019-09-04,GBPUSD=X,SHORT,-0.006099240005761414,-188.66774149409682,102921.30514905132,103295.06526157743,-0.003618373361589211
2019-09-05,GBPUSD=X,SHORT,-0.006097995600953543,-188.28409981299365,102733.02104923832,103295.06526157743,-0.0054411525944229044
2019-09-27,EURUSD=X,SHORT,0.009963700800391722,307.08032521648664,103040.10137445481,103295.06526157743,-0.0024683065592433495
2019-12-04,GBPUSD=X,SHORT,-0.006092802001345228,-188.34088076192802,102851.76049369288,103295.06526157743,-0.0042916354887037045
2019-12-27,EURUSD=X,SHORT,-0.006036058798490366,-186.24578216045362,102665.51471153244,103295.06526157743,-0.006094681759005294
2019-12-27,GBPUSD=X,SHORT,-0.006092270398964244,-187.63982288144913,102477.87488865099,103295.06526157743,-0.007911223743913065
2020-01-13,GBPUSD=X,SHORT,0.009908437603352289,304.6186887175022,102782.49357736848,103295.06526157743,-0.004962208822957281
2020-01-16,GBPUSD=X,SHORT,-0.006092395073390926,-187.85746725047827,102594.63611011801,103295.06526157743,-0.006780857823998732
2020-01-22,EURUSD=X,SHORT,0.004353982122610754,134.00856344976285,102728.64467356777,103295.06526157743,-0.005483520307337897
2020-01-24,GBPUSD=X,SHORT,-0.006091757998709194,-187.73941286602835,102540.90526070175,103295.06526157743,-0.007301026423342627
2020-02-28,GBPUSD=X,SHORT,0.009907028797316654,304.7627103962073,102845.66797109795,103295.06526157743,-0.004350617227855569
2020-03-19,EURUSD=X,SHORT,0.009963448398842827,307.40925176236703,103153.07722286032,103295.06526157743,-0.0013745868532785144
2020-04-08,GBPUSD=X,SHORT,-0.006097264805342517,-188.6854881941175,102964.3917346662,103295.06526157743,-0.0032012519288685537
2020-04-13,USDJPY=X,LONG,-0.00605527355677688,-187.04326756816207,102777.34846709804,103295.06526157743,-0.005012018659055539
2020-04-15,USDJPY=X,LONG,-0.006055745501236171,-186.71803968258334,102590.63042741545,103295.06526157743,-0.006819636856592481
2020-04-17,EURUSD=X,SHORT,0.009963389998421281,306.6451383396735,102897.27556575513,103295.06526157743,-0.003851003867560987
2020-04-30,EURUSD=X,SHORT,-0.0060369439996336505,-186.3555270916007,102710.92003866353,103295.06526157743,-0.005655112579043831
2020-05-18,EURUSD=X,SHORT,-0.006036961999381146,-186.01857635846616,102524.90146230508,103295.06526157743,-0.007455959268935497
2020-06-22,GBPUSD=X,SHORT,-0.006097201202992067,-187.53448575978288,102337.3669765453,103295.06526157743,-0.009271481484685928
2020-07-01,AUDUSD=X,LONG,0.009854447997863797,302.5434783326008,102639.9104548779,103295.06526157743,-0.006342556684972855
2020-07-03,EURJPY=X,LONG,0.0030559951231073895,94.1001197358858,102734.01057461379,103295.06526157743,-0.00543157299472985
2020-09-22,AUDUSD=X,LONG,-0.006138345093380652,-189.18504292019895,102544.82553169358,103295.06526157743,-0.0072630742619116395
2020-09-22,EURUSD=X,SHORT,0.009966226397584536,306.5954841448996,102851.42101583848,103295.06526157743,-0.004294921975367294
2020-10-05,GBPUSD=X,SHORT,-0.006093127200782055,-188.00603730920776,102663.41497852927,103295.06526157743,-0.006115009283828021
2020-10-07,GBPUSD=X,SHORT,0.009907635997549024,305.14552376177704,102968.56050229105,103295.06526157743,-0.003160894070394993
2020-10-20,EURUSD=X,SHORT,-0.006034049598282956,-186.39522034038706,102782.16528195066,103295.06526157743,-0.004965387052401238
2020-11-06,EURUSD=X,SHORT,-0.006033857599719375,-186.05188473063325,102596.11339722002,103295.06526157743,-0.006766556200796581
2020-11-10,GBPUSD=X,SHORT,-0.006091335593692799,-187.48420719330866,102408.62919002671,103295.06526157743,-0.008581591669514665
2020-12-14,USDJPY=X,LONG,0.0010499065321254437,32.25584661978643,102440.88503664649,103295.06526157743,-0.00826932267062197
