pair,side,signal_date,entry_date,exit_date,exit_time,entry_price,exit_price,tp_price,sl_price,exit_reason,bar_hold_days,calendar_hold_days,gross_return,spread_cost_pct,net_return,win,signal_close,signal_ma,signal_rsi,signal_prev_high,signal_prev_low,pullback_pct,tp_pct,sl_pct,hold_days,rsi_long_max,rsi_short_min
GBPJPY=X,SHORT,2018-03-23,2018-03-26,2018-03-26,1522022400,148.3179931640625,149.20790112304687,146.83481323242188,149.20790112304687,SL,1,0,-0.005999999999999943,0.00012136086536775909,-0.006121360865367702,False,148.1300048828125,148.2843603515625,61.53495000006938,149.82200622558594,145.59300231933594,0.01,0.01,0.006,7,40,60
EURUSD=X,LONG,2018-04-16,2018-04-17,2018-04-20,1524182400,1.238466739654541,1.2310359392166137,1.2508514070510863,1.2310359392166137,SL,4,3,-0.00600000000000006,3.2298001003367794e-05,-0.0060322980010034275,False,1.233258605003357,1.2328260374069213,34.77128438873514,1.2457488775253296,1.2251598834991455,0.01,0.01,0.006,7,40,60
EURJPY=X,SHORT,2018-06-19,2018-06-20,2018-06-22,1529625600,127.56400299072266,128.329387008667,126.28836296081543,128.329387008667,SL,3,2,-0.006000000000000048,7.839202098986553e-05,-0.006078392020989913,False,128.08799743652344,128.8794400024414,65.72582267317806,130.8419952392578,125.0459976196289,0.01,0.01,0.006,7,40,60
GBPJPY=X,SHORT,2018-06-19,2018-06-20,2018-06-21,1529539200,145.00999450683594,145.88005447387695,143.55989456176758,145.88005447387695,SL,2,1,-0.006,0.00012412937509042842,-0.006124129375090428,False,146.00900268554688,147.06804138183594,64.5094254768954,149.0500030517578,143.64599609375,0.01,0.01,0.006,7,40,60
EURJPY=X,LONG,2018-06-27,2018-06-28,2018-06-29,1530230400,127.44599914550781,128.7204591369629,128.7204591369629,126.68132315063477,TP,2,1,0.009999999999999972,7.846460514294205e-05,0.009921535394857031,True,128.26100158691406,128.25475952148437,38.69397269860249,130.1199951171875,125.0459976196289,0.01,0.01,0.006,7,40,60
GBPJPY=X,LONG,2018-08-01,2018-08-02,2018-08-02,1533168000,146.5330047607422,145.65380673217774,147.9983348083496,145.65380673217774,SL,1,0,-0.005999999999999949,0.00012283921993813096,-0.00612283921993808,False,146.64999389648438,146.54176025390626,39.93617010385794,148.7270050048828,145.447998046875,0.01,0.01,0.006,7,40,60
EURJPY=X,LONG,2018-08-02,2018-08-03,2018-08-06,1533513600,129.3939971923828,128.6176332092285,130.68793716430665,128.6176332092285,SL,2,3,-0.006000000000000115,7.728333784396516e-05,-0.00607728333784408,False,130.1929931640625,130.09739807128906,37.53529549573988,131.68800354003906,128.86599731445312,0.01,0.01,0.006,7,40,60
GBPUSD=X,SHORT,2018-09-05,2018-09-06,2018-09-07,1536278400,1.2914056777954102,1.2991541118621825,1.278491621017456,1.2991541118621825,SL,2,1,-0.005999999999999946,9.292200124507344e-05,-0.0060929220012450195,False,1.2858428955078125,1.2875698328018188,60.71945061038976,1.3035939931869507,1.2693899869918823,0.01,0.01,0.006,7,40,60
AUDUSD=X,SHORT,2018-09-28,2018-10-01,2018-10-03,1538524800,0.7222980856895447,0.7150751048326492,0.7150751048326492,0.7266318742036819,TP,3,2,0.009999999999999981,0.0001384469957504243,0.009861553004249558,True,0.7205129861831665,0.722334909439087,61.84091869461952,0.7286505103111267,0.7109847068786621,0.01,0.01,0.006,7,40,60
EURJPY=X,SHORT,2019-01-23,2019-01-24,2019-02-01,1548979200,124.65799713134766,125.40594511413575,123.41141716003418,125.40594511413575,SL,7,8,-0.006000000000000039,8.021948234466947e-05,-0.006080219482344709,False,124.26000213623047,125.05176025390625,73.43562349795783,126.76799774169922,121.60099792480469,0.01,0.01,0.006,7,40,60
USDJPY=X,SHORT,2019-01-23,2019-01-24,2019-02-01,1548979200,109.47699737548828,108.84400177001953,108.3822274017334,110.13385935974121,TIME,7,8,0.00578199640695002,5.4806033631165246e-05,0.005727190373318855,True,109.3550033569336,109.47660034179688,73.14958014210575,111.20600128173828,107.44100189208984,0.01,0.01,0.006,7,40,60
EURUSD=X,LONG,2019-01-30,2019-01-31,2019-02-05,1549324800,1.1485539674758911,1.1416626436710358,1.16003950715065,1.1416626436710358,SL,4,5,-0.006000000000000006,3.4826400093245625e-05,-0.006034826400093252,False,1.1435366868972778,1.1421089839935303,36.55541587032684,1.1554949283599854,1.1313496828079224,0.01,0.01,0.006,7,40,60
GBPJPY=X,LONG,2019-02-14,2019-02-15,2019-02-18,1550448000,141.4510040283203,142.86551406860352,142.86551406860352,140.60229800415038,TP,2,3,0.010000000000000009,0.00012725254319436412,0.009872747456805645,True,142.59100341796875,141.95684020996094,38.092419411432665,144.48800659179688,140.49000549316406,0.01,0.01,0.006,7,40,60
AUDUSD=X,LONG,2019-02-21,2019-02-22,2019-02-25,1551052800,0.7107118368148804,0.7178189551830292,0.7178189551830292,0.706447565793991,TP,2,3,0.010000000000000012,0.00014070400240997685,0.009859295997590035,True,0.7170000672340393,0.7155898904800415,38.40835387914982,0.7271669507026672,0.7063493728637695,0.01,0.01,0.006,7,40,60
