run_id,pullback_pct,tp_pct,sl_pct,hold_days,rsi_long_max,rsi_short_min,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,best_trade,worst_trade,final_equity,total_equity_return,max_drawdown,score
2109,0.01,0.01,0.006,7,40,60,73,40,33,0.39726,-7.659e-05,-0.00605527,-0.00559077,0.979116,0.00996339,-0.00616038,99813.81,-0.00186189,-0.01583714,-0.01529746
1299,0.007,0.006,0.006,7,40,60,92,49,43,0.48913,-0.00023667,-0.00603302,-0.02177359,0.923852,0.00596471,-0.00616038,99334.19,-0.00665807,-0.01683207,-0.02249042
1569,0.007,0.01,0.006,7,40,60,87,46,41,0.402299,-0.00023679,-0.00605478,-0.02060033,0.93491,0.00996339,-0.00616038,99362.7,-0.006373,-0.01777693,-0.0229624
219,0.003,0.006,0.006,7,40,60,99,54,45,0.494949,-0.00021086,-0.0060323,-0.02087536,0.931372,0.00596471,-0.00616038,99359.99,-0.00640012,-0.01846632,-0.0232818
759,0.005,0.006,0.006,7,40,60,99,54,45,0.494949,-0.00021086,-0.0060323,-0.02087536,0.931372,0.00596471,-0.00616038,99359.99,-0.00640012,-0.01846632,-0.0232818
264,0.003,0.006,0.008,7,40,60,96,52,44,0.5625,-0.00022605,0.00585026,-0.02170126,0.933134,0.00596471,-0.00816038,99331.62,-0.00668382,-0.02068919,-0.02549571
804,0.005,0.006,0.008,7,40,60,96,52,44,0.5625,-0.00022605,0.00585026,-0.02170126,0.933134,0.00596471,-0.00816038,99331.62,-0.00668382,-0.02068919,-0.02549571
1974,0.01,0.008,0.006,7,40,60,75,40,35,0.413333,-0.0003517,-0.00603859,-0.02637714,0.901462,0.00796339,-0.00616038,99196.09,-0.00803912,-0.01793561,-0.02590456
1344,0.007,0.006,0.008,7,40,60,89,47,42,0.561798,-0.00023846,0.00585112,-0.02122301,0.930401,0.00596471,-0.00816038,99346.99,-0.0065301,-0.0217156,-0.02628719
489,0.003,0.01,0.006,7,40,60,93,50,43,0.397849,-0.00035211,-0.00603859,-0.03274587,0.902187,0.00996339,-0.00616038,99000.71,-0.00999291,-0.01957943,-0.02917751
1029,0.005,0.01,0.006,7,40,60,93,50,43,0.397849,-0.00035211,-0.00603859,-0.03274587,0.902187,0.00996339,-0.00616038,99000.71,-0.00999291,-0.01957943,-0.02917751
1434,0.007,0.008,0.006,7,40,60,89,46,43,0.41573,-0.00038733,-0.00603859,-0.03447194,0.891075,0.00796471,-0.00616038,98952.76,-0.01047241,-0.01869755,-0.0293037
1884,0.01,0.006,0.008,7,40,60,76,42,34,0.552632,-0.00030352,0.00585336,-0.0230677,0.912758,0.00596339,-0.00816038,99294.59,-0.00705406,-0.02530493,-0.03033322
