run_id,pullback_pct,tp_pct,sl_pct,hold_days,rsi_long_max,rsi_short_min,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,best_trade,worst_trade,final_equity,total_equity_return,max_drawdown,score
487,0.003,0.01,0.006,7,40,50,179,23,156,0.458101,0.00080818,-0.00603257,0.14466372,1.257415,0.0099668,-0.00615264,104387.99,0.04387993,-0.01446397,0.04039052
1027,0.005,0.01,0.006,7,40,50,166,23,143,0.457831,0.00077912,-0.00603261,0.12933371,1.246233,0.0099668,-0.00615264,103912.41,0.03912407,-0.01446397,0.03534409
1567,0.007,0.01,0.006,7,40,50,131,22,109,0.458015,0.00086153,-0.00603386,0.11286022,1.265879,0.0099668,-0.00615264,103407.87,0.03407873,-0.01446397,0.03112284
488,0.003,0.01,0.006,7,40,55,90,23,67,0.477778,0.00105088,-0.00199007,0.09457899,1.352878,0.00996553,-0.00615264,102854.64,0.02854637,-0.01152795,0.02983279
533,0.003,0.01,0.008,7,40,55,86,23,63,0.546512,0.001131,0.00109894,0.09726574,1.353402,0.00996553,-0.00815264,102934.6,0.02934602,-0.01470695,0.02889043
532,0.003,0.01,0.008,7,40,50,170,23,147,0.517647,0.00072131,0.00076993,0.12262331,1.204417,0.0099668,-0.00815264,103693.17,0.03693165,-0.01918905,0.02879355
1612,0.007,0.01,0.008,7,40,50,125,22,103,0.528,0.00089964,0.00104991,0.11245468,1.254723,0.0099668,-0.00815264,103390.44,0.03390445,-0.0185699,0.0280449
1073,0.005,0.01,0.008,7,40,55,80,23,57,0.5375,0.0010902,0.00109894,0.08721618,1.342652,0.00996553,-0.00815264,102626.95,0.02626953,-0.01317048,0.02663517
1072,0.005,0.01,0.008,7,40,50,158,23,135,0.518987,0.00070416,0.00076993,0.11125795,1.198971,0.0099668,-0.00815264,103344.08,0.03344078,-0.0185699,0.0256265
2018,0.01,0.008,0.008,7,40,55,50,19,31,0.62,0.00134696,0.00788033,0.06734779,1.438682,0.00796463,-0.00815264,102027.42,0.02027419,-0.01207664,0.02408243
1028,0.005,0.01,0.006,7,40,55,84,23,61,0.464286,0.00090364,-0.00288184,0.0759059,1.296564,0.00996553,-0.00615264,102281.77,0.02281771,-0.00973502,0.02406611
2108,0.01,0.01,0.006,7,40,55,52,19,33,0.480769,0.00119309,-0.00603436,0.06204056,1.377949,0.00996463,-0.00615264,101864.21,0.01864213,-0.00910209,0.02329134
938,0.005,0.008,0.008,7,40,55,82,23,59,0.585366,0.0009787,0.00337969,0.08025359,1.320658,0.00796567,-0.00815264,102415.98,0.02415978,-0.01494044,0.02199445
398,0.003,0.008,0.008,7,40,55,88,23,65,0.590909,0.00095799,0.00337969,0.08430316,1.311114,0.00796567,-0.00815264,102538.75,0.02538754,-0.01647415,0.02178812
353,0.003,0.008,0.006,7,40,55,92,23,69,0.5,0.00075059,-0.00020979,0.069054,1.254477,0.00796567,-0.00615264,102073.51,0.02073509,-0.01317849,0.01769816
2157,0.01,0.01,0.008,7,45,60,50,42,8,0.54,0.0009463,0.00206765,0.04731479,1.254019,0.00996339,-0.00815264,101412.49,0.01412487,-0.00747756,0.01760578
352,0.003,0.008,0.006,7,40,50,185,23,162,0.481081,0.00043701,-0.00603247,0.0808468,1.141628,0.00796711,-0.00615264,102416.0,0.02416,-0.01582094,0.01587335
1613,0.007,0.01,0.008,7,40,55,68,22,46,0.529412,0.00092357,0.00091051,0.06280279,1.268754,0.00996463,-0.00815264,101880.58,0.01880582,-0.01573689,0.01545201
1568,0.007,0.01,0.006,7,40,55,72,22,50,0.458333,0.00079665,-0.00603335,0.05735854,1.248972,0.00996463,-0.00615264,101716.77,0.01716773,-0.01268675,0.0149848
1477,0.007,0.008,0.008,7,40,50,128,22,106,0.5625,0.00050654,0.00267375,0.06483728,1.147177,0.0079668,-0.00815264,101930.14,0.01930136,-0.01211911,0.01467149
893,0.005,0.008,0.006,7,40,55,86,23,63,0.488372,0.00065559,-0.00216203,0.05638091,1.217446,0.00796567,-0.00615264,101687.38,0.01687376,-0.01138856,0.01431883
937,0.005,0.008,0.008,7,40,50,161,23,138,0.552795,0.00039887,0.00240507,0.06421824,1.115049,0.0079668,-0.00815264,101902.89,0.01902893,-0.01419082,0.01166498
1342,0.007,0.006,0.008,7,40,50,135,23,112,0.614815,0.00043095,0.00590498,0.05817822,1.140385,0.00596749,-0.00815264,101732.73,0.01732732,-0.01271043,0.01146847
1315,0.007,0.006,0.008,3,40,50,142,23,119,0.570423,0.00042829,0.00229611,0.06081657,1.173741,0.00596612,-0.00815264,101818.73,0.01818726,-0.01392333,0.01133146
1973,0.01,0.008,0.006,7,40,55,53,19,34,0.490566,0.00071493,-0.00603266,0.03789136,1.230833,0.00796463,-0.00615264,101131.47,0.01131474,-0.00910209,0.01118238
892,0.005,0.008,0.006,7,40,50,169,23,146,0.47929,0.00045161,-0.00603247,0.07632283,1.14609,0.0079668,-0.00615264,102280.28,0.02280277,-0.02041411,0.01098763
405,0.003,0.008,0.008,7,50,60,266,254,12,0.537594,0.00038801,0.00328637,0.10321017,1.1096,0.00796471,-0.00815668,103072.42,0.03072424,-0.02957813,0.01094182
803,0.005,0.006,0.008,7,40,55,84,24,60,0.619048,0.00059961,0.00590171,0.0503673,1.215113,0.00596567,-0.00815264,101506.52,0.01506522,-0.01269405,0.01090609
1540,0.007,0.01,0.006,3,40,50,139,22,117,0.503597,0.0004529,0.00020613,0.06295268,1.177006,0.00996612,-0.00615264,101881.11,0.01881109,-0.01657236,0.01008217
1478,0.007,0.008,0.008,7,40,55,70,22,48,0.571429,0.00072591,0.00337969,0.05081397,1.221437,0.00796567,-0.00815264,101517.84,0.01517836,-0.01691415,0.00890617
1270,0.007,0.006,0.006,3,40,50,147,23,124,0.544218,0.00035787,0.00161816,0.05260698,1.149305,0.00596612,-0.00615264,101570.69,0.01570688,-0.01302356,0.00886673
470,0.003,0.01,0.006,4,40,55,92,23,69,0.467391,0.00044719,-0.00222899,0.04114138,1.149372,0.00996576,-0.00615264,101221.63,0.01221627,-0.01023883,0.00849709
2022,0.01,0.008,0.008,7,45,60,55,46,9,0.563636,0.00058904,0.00784079,0.03239716,1.166697,0.00796339,-0.00815264,100961.47,0.00961471,-0.00878897,0.00847393
263,0.003,0.006,0.008,7,40,55,90,24,66,0.622222,0.00053797,0.00590171,0.04841687,1.189991,0.00596567,-0.00815264,101445.82,0.01445822,-0.01423125,0.00845287
397,0.003,0.008,0.008,7,40,50,176,23,153,0.551136,0.00037053,0.0023227,0.06521246,1.106885,0.00796711,-0.00815264,101929.62,0.01929618,-0.01886522,0.00790925
2156,0.01,0.01,0.008,7,45,55,72,42,30,0.513889,0.00059428,0.00069238,0.04278789,1.154742,0.00996463,-0.00815264,101267.88,0.01267879,-0.01446358,0.00705069
2112,0.01,0.01,0.006,7,45,60,53,45,8,0.433962,0.0005559,-0.00604149,0.02946285,1.161088,0.00996339,-0.00615264,100873.5,0.00873502,-0.00907881,0.007031
461,0.003,0.01,0.006,3,40,55,93,23,70,0.473118,0.00040848,-0.00050359,0.03798894,1.153173,0.00996576,-0.00615264,101128.3,0.01128296,-0.01118822,0.00641722
1522,0.007,0.01,0.004,7,40,50,143,22,121,0.342657,0.00045991,-0.00403606,0.06576773,1.172605,0.00996612,-0.00415264,101965.65,0.01965648,-0.02241202,0.006326
479,0.003,0.01,0.006,5,40,55,92,23,69,0.423913,0.00040515,-0.00198626,0.03727354,1.133721,0.00996576,-0.00615264,101103.83,0.01103832,-0.01154886,0.0058507
2021,0.01,0.008,0.008,7,45,55,77,46,31,0.558442,0.00052631,0.00784079,0.04052621,1.147367,0.00796463,-0.00815264,101201.87,0.01201869,-0.01446358,0.00571097
2107,0.01,0.01,0.006,7,40,50,91,19,72,0.428571,0.00043553,-0.00603526,0.03963356,1.125519,0.0099668,-0.00615264,101171.79,0.01171791,-0.01329533,0.00543698
217,0.003,0.006,0.006,7,40,50,197,24,173,0.527919,0.0002677,0.00589958,0.05273654,1.094793,0.00596749,-0.00615264,101562.89,0.01562894,-0.01615911,0.00537863
2009,0.01,0.008,0.008,5,40,55,50,19,31,0.52,0.00060421,0.00018719,0.03021049,1.201741,0.00796463,-0.00815264,100898.76,0.00898755,-0.01207664,0.00536834
1549,0.007,0.01,0.006,4,40,50,136,22,114,0.477941,0.00040994,-0.001635,0.05575218,1.139654,0.0099668,-0.00615264,101657.64,0.01657638,-0.0191919,0.00532229
460,0.003,0.01,0.006,3,40,50,198,23,175,0.474747,0.00029437,-0.00023114,0.05828597,1.113595,0.00996612,-0.00615264,101728.71,0.01728707,-0.01899109,0.00503793
