param_name,position_fraction,year,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,best_trade,worst_trade,final_equity,total_equity_return,max_drawdown
A_v703_stable,0.3,2018,3,2,1,0.333333,-0.00074956,-0.00607728,-0.00224867,0.815232,0.00992154,-0.00609292,99931.79,-0.00068213,-0.00364773
A_v703_stable,0.3,2019,2,2,0,1.0,0.00842513,0.00842513,0.01685026,inf,0.0099201,0.00693016,100506.13,0.00506126,0.0
A_v703_stable,0.3,2020,5,4,1,0.4,0.00117631,-0.00188776,0.00588157,1.420149,0.00996339,-0.00605575,100175.37,0.00175367,-0.00363001
A_v703_stable,0.3,2021,4,2,2,1.0,0.00789848,0.00993015,0.03159391,inf,0.00994722,0.00178638,100950.97,0.00950966,0.0
A_v703_stable,0.3,2022,4,2,2,0.5,0.00194534,0.0019466,0.00778136,1.642595,0.00996102,-0.00607285,100232.49,0.00232492,-0.00362948
A_v703_stable,0.3,2023,2,2,0,0.5,0.00193462,0.00193462,0.00386923,1.637781,0.00993594,-0.00606671,100115.53,0.00115534,-0.00182001
A_v703_stable,0.3,2024,1,1,0,1.0,0.00995823,0.00995823,0.00995823,inf,0.00995823,0.00995823,100298.75,0.00298747,0.0
A_v703_stable,0.3,2025,5,2,3,0.6,0.00352649,0.00991118,0.01763243,2.453719,0.0099387,-0.0060906,100528.71,0.00528708,-0.00363545
A_v703_stable,0.5,2018,3,2,1,0.333333,-0.00074956,-0.00607728,-0.00224867,0.815232,0.00992154,-0.00609292,99885.48,-0.00114522,-0.00607585
A_v703_stable,0.5,2019,2,2,0,1.0,0.00842513,0.00842513,0.01685026,inf,0.0099201,0.00693016,100844.23,0.00844231,0.0
A_v703_stable,0.5,2020,5,4,1,0.4,0.00117631,-0.00188776,0.00588157,1.420149,0.00996339,-0.00605575,100291.08,0.00291076,-0.00604634
A_v703_stable,0.5,2021,4,2,2,1.0,0.00789848,0.00993015,0.03159391,inf,0.00994722,0.00178638,101588.45,0.0158845,0.0
A_v703_stable,0.5,2022,4,2,2,0.5,0.00194534,0.0019466,0.00778136,1.642595,0.00996102,-0.00607285,100386.43,0.0038643,-0.00604547
A_v703_stable,0.5,2023,2,2,0,0.5,0.00193462,0.00193462,0.00386923,1.637781,0.00993594,-0.00606671,100191.95,0.00191955,-0.00303335
A_v703_stable,0.5,2024,1,1,0,1.0,0.00995823,0.00995823,0.00995823,inf,0.00995823,0.00995823,100497.91,0.00497911,0.0
A_v703_stable,0.5,2025,5,2,3,0.6,0.00352649,0.00991118,0.01763243,2.453719,0.0099387,-0.0060906,100880.88,0.00880879,-0.0060554
A_v703_stable,0.7,2018,3,2,1,0.333333,-0.00074956,-0.00607728,-0.00224867,0.815232,0.00992154,-0.00609292,99838.5,-0.00161497,-0.008501
A_v703_stable,0.7,2019,2,2,0,1.0,0.00842513,0.00842513,0.01685026,inf,0.0099201,0.00693016,101182.89,0.01182887,0.0
A_v703_stable,0.7,2020,5,4,1,0.4,0.00117631,-0.00188776,0.00588157,1.420149,0.00996339,-0.00605575,100405.82,0.00405823,-0.00845975
A_v703_stable,0.7,2021,4,2,2,1.0,0.00789848,0.00993015,0.03159391,inf,0.00994722,0.00178638,102228.75,0.02228747,0.0
A_v703_stable,0.7,2022,4,2,2,0.5,0.00194534,0.0019466,0.00778136,1.642595,0.00996102,-0.00607285,100539.52,0.0053952,-0.00845853
A_v703_stable,0.7,2023,2,2,0,0.5,0.00193462,0.00193462,0.00386923,1.637781,0.00993594,-0.00606671,100267.89,0.00267893,-0.00424669
A_v703_stable,0.7,2024,1,1,0,1.0,0.00995823,0.00995823,0.00995823,inf,0.00995823,0.00995823,100697.08,0.00697076,0.0
A_v703_stable,0.7,2025,5,2,3,0.6,0.00352649,0.00991118,0.01763243,2.453719,0.0099387,-0.0060906,101232.8,0.012328,-0.00847241
A_v703_stable,1.0,2018,3,2,1,0.333333,-0.00074956,-0.00607728,-0.00224867,0.815232,0.00992154,-0.00609292,99766.8,-0.00233202,-0.01213318
A_v703_stable,1.0,2019,2,2,0,1.0,0.00842513,0.00842513,0.01685026,inf,0.0099201,0.00693016,101691.9,0.016919,0.0
A_v703_stable,1.0,2020,5,4,1,0.4,0.00117631,-0.00188776,0.00588157,1.420149,0.00996339,-0.00605575,100576.13,0.00576134,-0.01207435
A_v703_stable,1.0,2021,4,2,2,1.0,0.00789848,0.00993015,0.03159391,inf,0.00994722,0.00178638,103194.48,0.03194483,0.0
A_v703_stable,1.0,2022,4,2,2,0.5,0.00194534,0.0019466,0.00778136,1.642595,0.00996102,-0.00607285,100767.56,0.0076756,-0.01207262
A_v703_stable,1.0,2023,2,2,0,0.5,0.00193462,0.00193462,0.00386923,1.637781,0.00993594,-0.00606671,100380.9,0.00380895,-0.00606671
A_v703_stable,1.0,2024,1,1,0,1.0,0.00995823,0.00995823,0.00995823,inf,0.00995823,0.00995823,100995.82,0.00995823,0.0
A_v703_stable,1.0,2025,5,2,3,0.6,0.00352649,0.00991118,0.01763243,2.453719,0.0099387,-0.0060906,101760.2,0.01760197,-0.01209241
A_v703_stable,1.5,2018,3,2,1,0.333333,-0.00074956,-0.00607728,-0.00224867,0.815232,0.00992154,-0.00609292,99643.99,-0.00356013,-0.01817199
A_v703_stable,1.5,2019,2,2,0,1.0,0.00842513,0.00842513,0.01685026,inf,0.0099201,0.00693016,102543.01,0.02543007,0.0
A_v703_stable,1.5,2020,5,4,1,0.4,0.00117631,-0.00188776,0.00588157,1.420149,0.00996339,-0.00605575,100855.16,0.00855155,-0.01808402
A_v703_stable,1.5,2021,4,2,2,1.0,0.00789848,0.00993015,0.03159391,inf,0.00994722,0.00178638,104818.21,0.04818214,0.0
A_v703_stable,1.5,2022,4,2,2,0.5,0.00194534,0.0019466,0.00778136,1.642595,0.00996102,-0.00607285,101143.36,0.01143356,-0.01808144
A_v703_stable,1.5,2023,2,2,0,0.5,0.00193462,0.00193462,0.00386923,1.637781,0.00993594,-0.00606671,100566.82,0.00566822,-0.00910006
