run_id,breakout_days,ma_days,atr_days,atr_mult,max_hold_days,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,best_trade,worst_trade,final_equity,total_equity_return,max_drawdown,score
49,20,200,14,1.5,20,145,105,40,0.42069,0.00086758,-0.00106045,0.1257985,1.245663,0.04972468,-0.01666219,103753.77,0.03753774,-0.03478874,0.0236051
50,20,200,14,1.5,40,143,103,40,0.41958,0.0008865,-0.00106045,0.12676951,1.248488,0.04972468,-0.01666219,103783.9,0.037839,-0.03809257,0.02207546
51,20,200,14,1.5,60,143,103,40,0.41958,0.0008865,-0.00106045,0.12676951,1.248488,0.04972468,-0.01666219,103783.9,0.037839,-0.03809257,0.02207546
52,20,200,14,1.5,90,143,103,40,0.41958,0.0008865,-0.00106045,0.12676951,1.248488,0.04972468,-0.01666219,103783.9,0.037839,-0.03809257,0.02207546
33,20,150,14,1.5,20,150,108,42,0.413333,0.00068914,-0.00185399,0.10337054,1.186077,0.04972468,-0.01666219,103054.26,0.03054261,-0.03928009,0.01248765
34,20,150,14,1.5,40,148,106,42,0.412162,0.00070501,-0.00189607,0.10434155,1.188474,0.04972468,-0.01666219,103084.18,0.03084184,-0.04256855,0.0109408
35,20,150,14,1.5,60,148,106,42,0.412162,0.00070501,-0.00189607,0.10434155,1.188474,0.04972468,-0.01666219,103084.18,0.03084184,-0.04256855,0.0109408
36,20,150,14,1.5,90,148,106,42,0.412162,0.00070501,-0.00189607,0.10434155,1.188474,0.04972468,-0.01666219,103084.18,0.03084184,-0.04256855,0.0109408
177,60,200,14,1.5,20,102,74,28,0.372549,0.00053406,-0.00229097,0.05447362,1.125257,0.04972468,-0.01666219,101567.66,0.01567655,-0.03414255,-0.00053653
178,60,200,14,1.5,40,100,72,28,0.37,0.00053407,-0.00241381,0.05340749,1.123348,0.04972468,-0.01666219,101535.56,0.01535559,-0.03744859,-0.00284096
179,60,200,14,1.5,60,100,72,28,0.37,0.00053407,-0.00241381,0.05340749,1.123348,0.04972468,-0.01666219,101535.56,0.01535559,-0.03744859,-0.00284096
180,60,200,14,1.5,90,100,72,28,0.37,0.00053407,-0.00241381,0.05340749,1.123348,0.04972468,-0.01666219,101535.56,0.01535559,-0.03744859,-0.00284096
161,60,150,14,1.5,20,107,78,29,0.35514,0.00036791,-0.00235321,0.03936672,1.087481,0.04972468,-0.01666219,101108.06,0.01108062,-0.03280453,-0.00565879
162,60,150,14,1.5,40,105,76,29,0.352381,0.00036477,-0.00247442,0.03830059,1.085476,0.04972468,-0.01666219,101076.11,0.01076111,-0.03611515,-0.00798984
163,60,150,14,1.5,60,105,76,29,0.352381,0.00036477,-0.00247442,0.03830059,1.085476,0.04972468,-0.01666219,101076.11,0.01076111,-0.03611515,-0.00798984
164,60,150,14,1.5,90,105,76,29,0.352381,0.00036477,-0.00247442,0.03830059,1.085476,0.04972468,-0.01666219,101076.11,0.01076111,-0.03611515,-0.00798984
113,40,200,14,1.5,20,112,82,30,0.375,0.00034499,-0.00241381,0.03863872,1.080674,0.04972468,-0.01666219,101083.62,0.01083616,-0.03662259,-0.00837749
97,40,150,14,1.5,20,117,85,32,0.367521,0.0002793,-0.00235321,0.03267772,1.06628,0.04972468,-0.01666219,100902.41,0.00902411,-0.03527535,-0.00990673
114,40,200,14,1.5,40,110,80,30,0.372727,0.00034157,-0.00250573,0.03757259,1.078763,0.04972468,-0.01666219,101051.67,0.01051673,-0.03992014,-0.0107028
115,40,200,14,1.5,60,110,80,30,0.372727,0.00034157,-0.00250573,0.03757259,1.078763,0.04972468,-0.01666219,101051.67,0.01051673,-0.03992014,-0.0107028
116,40,200,14,1.5,90,110,80,30,0.372727,0.00034157,-0.00250573,0.03757259,1.078763,0.04972468,-0.01666219,101051.67,0.01051673,-0.03992014,-0.0107028
98,40,150,14,1.5,40,115,83,32,0.365217,0.00027488,-0.00247442,0.03161159,1.064367,0.04972468,-0.01666219,100870.52,0.00870525,-0.03857751,-0.01224219
99,40,150,14,1.5,60,115,83,32,0.365217,0.00027488,-0.00247442,0.03161159,1.064367,0.04972468,-0.01666219,100870.52,0.00870525,-0.03857751,-0.01224219
100,40,150,14,1.5,90,115,83,32,0.365217,0.00027488,-0.00247442,0.03161159,1.064367,0.04972468,-0.01666219,100870.52,0.00870525,-0.03857751,-0.01224219
53,20,200,14,2.0,20,134,97,37,0.380597,0.00032225,-0.00302171,0.04318212,1.066118,0.0470376,-0.02063638,101192.75,0.01192746,-0.05715567,-0.01978791
129,60,50,14,1.5,20,111,81,30,0.351351,8.513e-05,-0.00298035,0.00944895,1.018856,0.04972468,-0.01666219,100200.42,0.00200417,-0.04002843,-0.02133188
