wf_id,date,pair,side,net_return,pnl,equity,peak,drawdown
1,2021-02-09,USDJPY=X,LONG,-0.0036130524968974193,-108.39157490692259,99891.60842509307,100000.0,-0.0010839157490692974
1,2021-02-22,USDJPY=X,LONG,-0.006236270664015486,-186.88533216081905,99704.72309293225,100000.0,-0.00295276907067743
1,2021-03-23,USDJPY=X,LONG,0.019460980125768804,582.105490367051,100286.8285832993,100286.8285832993,0.0
1,2021-04-05,USDJPY=X,LONG,-0.0003442430553477815,-10.356913284796253,100276.4716700145,100286.8285832993,-0.00010327291660428006
1,2021-06-21,USDJPY=X,LONG,-0.005087059040671012,-153.0336995326614,100123.43797048184,100286.8285832993,-0.0016292330221784335
1,2021-07-05,USDJPY=X,LONG,-0.005783492487104181,-173.71894538559695,99949.71902509624,100286.8285832993,-0.003361453971226558
1,2021-07-09,GBPUSD=X,SHORT,-0.0016873158605286423,-50.59402384992788,99899.12500124631,100286.8285832993,-0.0038659471790052358
1,2021-08-24,GBPUSD=X,SHORT,-0.0070559269616058,-211.46427886113656,99687.66072238518,100286.8285832993,-0.005974541915207188
1,2021-10-01,GBPUSD=X,SHORT,0.012079489417462574,361.25281282429535,100048.91353520947,100286.8285832993,-0.002372345914720131
1,2021-10-01,USDJPY=X,LONG,0.0020836261940199684,62.53936107756042,100111.45289628704,100286.8285832993,-0.0017487409811408616
1,2021-10-21,USDJPY=X,LONG,0.002757313352473619,82.81159374193979,100194.26449002897,100286.8285832993,-0.0009229935234559283
1,2021-11-18,GBPUSD=X,SHORT,-0.010189655900741362,-306.28352351437934,99887.98096651459,100286.8285832993,-0.00397706879775761
1,2021-11-26,USDJPY=X,LONG,0.0028819215794582795,86.36079836277489,99974.34176487736,100286.8285832993,-0.0031159308040376033
2,2022-03-17,GBPUSD=X,SHORT,-0.011212700553013247,-336.2947071582527,99638.04705771912,100286.8285832993,-0.006469259570226593
2,2022-03-29,USDJPY=X,LONG,0.0458327397589777,1370.0054042667641,101008.05246198588,101008.05246198588,0.0
2,2022-04-20,USDJPY=X,LONG,-0.01130106220160066,-342.44948512063354,100665.60297686524,101008.05246198588,-0.0033903186604802293
2,2022-04-25,USDJPY=X,LONG,-0.003764742767370312,-113.69403021903742,100551.9089466462,101008.05246198588,-0.004515912387394461
2,2022-04-29,GBPUSD=X,SHORT,0.012463412779435908,375.9659840886918,100927.87493073489,101008.05246198588,-0.000793773657611685
2,2022-05-17,GBPUSD=X,SHORT,-0.011025650216676298,-333.8386338296206,100594.03629690527,101008.05246198588,-0.0040988431614046306
2,2022-06-16,USDJPY=X,LONG,0.00485931065668071,146.64530177282336,100740.68159867809,101008.05246198588,-0.0026470252300767605
2,2022-09-09,GBPUSD=X,SHORT,0.013172023723511811,398.0875943821612,101138.76919306025,101138.76919306025,0.0
2,2022-09-09,USDJPY=X,LONG,0.020453888302646994,620.6043264426147,101759.37351950286,101759.37351950286,0.0
2,2022-09-27,GBPUSD=X,SHORT,0.05545569714670374,1692.9410999207562,103452.31461942362,103452.31461942362,0.0
2,2022-10-21,USDJPY=X,LONG,-0.0018292794337714142,-56.77295745280843,103395.54166197081,103452.31461942362,-0.0005487838301313497
