run_id,breakout_days,ma_days,atr_days,atr_mult,max_hold_days,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,final_equity,total_equity_return,max_drawdown,score,wf_id
1,20,100,14,1.2,20,17,7,10,0.235294,0.00141009,-0.0013679,0.02397152,1.662487,100713.42,0.00713422,-0.00764914,-999982.0,1
2,20,100,14,1.2,40,17,7,10,0.235294,0.00141009,-0.0013679,0.02397152,1.662487,100713.42,0.00713422,-0.00764914,-999982.0,1
3,20,100,14,1.2,60,17,7,10,0.235294,0.00141009,-0.0013679,0.02397152,1.662487,100713.42,0.00713422,-0.00764914,-999982.0,1
4,20,100,14,1.2,90,17,7,10,0.235294,0.00141009,-0.0013679,0.02397152,1.662487,100713.42,0.00713422,-0.00764914,-999982.0,1
5,20,100,14,1.5,20,17,7,10,0.176471,-0.00034754,-0.00355207,-0.00590818,0.893039,99816.41,-0.00183589,-0.0114042,-999982.0,1
6,20,100,14,1.5,40,17,7,10,0.176471,-0.00034754,-0.00355207,-0.00590818,0.893039,99816.41,-0.00183589,-0.0114042,-999982.0,1
7,20,100,14,1.5,60,17,7,10,0.176471,-0.00034754,-0.00355207,-0.00590818,0.893039,99816.41,-0.00183589,-0.0114042,-999982.0,1
8,20,100,14,1.5,90,17,7,10,0.176471,-0.00034754,-0.00355207,-0.00590818,0.893039,99816.41,-0.00183589,-0.0114042,-999982.0,1
9,20,100,14,2.0,20,17,7,10,0.176471,-0.00317649,-0.00589605,-0.05400028,0.383154,98387.73,-0.01612272,-0.01849898,-999982.0,1
10,20,100,14,2.0,40,17,7,10,0.176471,-0.00317649,-0.00589605,-0.05400028,0.383154,98387.73,-0.01612272,-0.01849898,-999982.0,1
11,20,100,14,2.0,60,17,7,10,0.176471,-0.00317649,-0.00589605,-0.05400028,0.383154,98387.73,-0.01612272,-0.01849898,-999982.0,1
12,20,100,14,2.0,90,17,7,10,0.176471,-0.00317649,-0.00589605,-0.05400028,0.383154,98387.73,-0.01612272,-0.01849898,-999982.0,1
13,20,100,14,2.5,20,17,7,10,0.117647,-0.0060347,-0.00702089,-0.10258991,0.141721,96962.98,-0.03037023,-0.03037023,-999982.0,1
14,20,100,14,2.5,40,17,7,10,0.117647,-0.0060347,-0.00702089,-0.10258991,0.141721,96962.98,-0.03037023,-0.03037023,-999982.0,1
15,20,100,14,2.5,60,17,7,10,0.117647,-0.0060347,-0.00702089,-0.10258991,0.141721,96962.98,-0.03037023,-0.03037023,-999982.0,1
16,20,100,14,2.5,90,17,7,10,0.117647,-0.0060347,-0.00702089,-0.10258991,0.141721,96962.98,-0.03037023,-0.03037023,-999982.0,1
17,20,150,14,1.2,20,13,4,9,0.307692,0.00259672,-0.0013679,0.03375741,2.278775,101009.76,0.0100976,-0.00736463,-999986.0,1
18,20,150,14,1.2,40,13,4,9,0.307692,0.00259672,-0.0013679,0.03375741,2.278775,101009.76,0.0100976,-0.00736463,-999986.0,1
19,20,150,14,1.2,60,13,4,9,0.307692,0.00259672,-0.0013679,0.03375741,2.278775,101009.76,0.0100976,-0.00736463,-999986.0,1
20,20,150,14,1.2,90,13,4,9,0.307692,0.00259672,-0.0013679,0.03375741,2.278775,101009.76,0.0100976,-0.00736463,-999986.0,1
21,20,150,14,1.5,20,13,4,9,0.230769,0.00024529,-0.00355207,0.00318872,1.06911,100089.37,0.00089367,-0.0114042,-999986.0,1
22,20,150,14,1.5,40,13,4,9,0.230769,0.00024529,-0.00355207,0.00318872,1.06911,100089.37,0.00089367,-0.0114042,-999986.0,1
23,20,150,14,1.5,60,13,4,9,0.230769,0.00024529,-0.00355207,0.00318872,1.06911,100089.37,0.00089367,-0.0114042,-999986.0,1
24,20,150,14,1.5,90,13,4,9,0.230769,0.00024529,-0.00355207,0.00318872,1.06911,100089.37,0.00089367,-0.0114042,-999986.0,1
25,20,150,14,2.0,20,13,4,9,0.230769,-0.00321748,-0.00684338,-0.0418273,0.445038,98748.04,-0.01251962,-0.01714814,-999986.0,1
26,20,150,14,2.0,40,13,4,9,0.230769,-0.00321748,-0.00684338,-0.0418273,0.445038,98748.04,-0.01251962,-0.01714814,-999986.0,1
27,20,150,14,2.0,60,13,4,9,0.230769,-0.00321748,-0.00684338,-0.0418273,0.445038,98748.04,-0.01251962,-0.01714814,-999986.0,1
28,20,150,14,2.0,90,13,4,9,0.230769,-0.00321748,-0.00684338,-0.0418273,0.445038,98748.04,-0.01251962,-0.01714814,-999986.0,1
29,20,150,14,2.5,20,13,4,9,0.153846,-0.00671853,-0.01048639,-0.08734085,0.162445,97408.18,-0.02591824,-0.02591824,-999986.0,1
30,20,150,14,2.5,40,13,4,9,0.153846,-0.00671853,-0.01048639,-0.08734085,0.162445,97408.18,-0.02591824,-0.02591824,-999986.0,1
31,20,150,14,2.5,60,13,4,9,0.153846,-0.00671853,-0.01048639,-0.08734085,0.162445,97408.18,-0.02591824,-0.02591824,-999986.0,1
