date,pair,side,net_return,pnl,equity,peak,drawdown
2018-12-18,GBPUSD=X,SHORT,-0.005592323142291619,-167.76969426874857,99832.23030573125,100000.0,-0.00167769694268749
2019-06-04,GBPUSD=X,SHORT,-0.0005124340715765886,-15.34723087504127,99816.88307485622,100000.0,-0.0018311692514377809
2019-06-20,GBPUSD=X,SHORT,-0.005847307073163917,-175.09798992743472,99641.78508492878,100000.0,-0.0035821491507121994
2019-08-16,GBPUSD=X,SHORT,0.005773089345209279,172.57227834343055,99814.35736327221,100000.0,-0.001856426367277897
2020-03-20,GBPUSD=X,SHORT,0.037078403882238285,1110.2871166684415,100924.64447994065,100924.64447994065,0.0
2021-02-22,USDJPY=X,LONG,-0.006236270664015486,-188.8180198939339,100735.82646004671,100924.64447994065,-0.0018708811992046437
2021-03-23,USDJPY=X,LONG,0.019460980125768804,588.1253750075592,101323.95183505426,101323.95183505426,0.0
2021-04-05,USDJPY=X,LONG,-0.0003442430553477815,-10.46402002788316,101313.48781502638,101323.95183505426,-0.00010327291660428006
2021-07-05,USDJPY=X,LONG,-0.005783492487104181,-175.78373868615782,101137.70407634022,101323.95183505426,-0.0018381414792943973
2021-10-21,USDJPY=X,LONG,0.020273056429807795,615.1111145762541,101752.81519091647,101752.81519091647,0.0
2021-11-18,GBPUSD=X,SHORT,-0.010189655900741362,-311.0478521181502,101441.76733879832,101752.81519091647,-0.0030568967702223615
2021-11-26,USDJPY=X,LONG,0.0028819215794582795,87.7041655056207,101529.47150430395,101752.81519091647,-0.0021949632174154132
2022-03-17,GBPUSD=X,SHORT,-0.011212700553013247,-341.5258683850355,101187.9456359189,101752.81519091647,-0.00555138994373483
2022-03-29,USDJPY=X,LONG,0.0458327397589777,1391.3162337229962,102579.26186964191,102579.26186964191,0.0
2022-04-20,USDJPY=X,LONG,-0.01130106220160066,-347.7763856949318,102231.48548394698,102579.26186964191,-0.0033903186604802293
2022-04-25,USDJPY=X,LONG,-0.003764742767370312,-115.46257367196372,102116.02291027502,102579.26186964191,-0.004515912387394461
2022-04-29,GBPUSD=X,SHORT,0.012463412779435908,381.8142434775275,102497.83715375254,102579.26186964191,-0.000793773657611685
2022-05-17,GBPUSD=X,SHORT,-0.011025650216676298,-339.03159012693703,102158.8055636256,102579.26186964191,-0.0040988431614045195
2022-06-16,USDJPY=X,LONG,0.00485931065668071,148.92641176472955,102307.73197539033,102579.26186964191,-0.0026470252300766495
2022-09-09,GBPUSD=X,SHORT,0.013172023723511811,404.27996180355876,102712.01193719389,102712.01193719389,0.0
2022-09-09,USDJPY=X,LONG,-0.011516208432095255,-354.8558813845743,102357.15605580932,102712.01193719389,-0.003454862529628566
2022-09-27,GBPUSD=X,SHORT,0.05545569714670374,1702.8862341086563,104060.04228991797,104060.04228991797,0.0
2022-10-21,USDJPY=X,LONG,-0.0018292794337714142,-57.106468571499164,104002.93582134647,104060.04228991797,-0.0005487838301313497
2022-10-25,USDJPY=X,LONG,-0.001315911154829174,-41.05758701468775,103961.87823433179,104060.04228991797,-0.0009433405313510335
2023-03-10,GBPUSD=X,SHORT,-0.011892195820725706,-370.9005041559345,103590.97773017586,104060.04228991797,-0.0045076337604713634
2023-06-01,USDJPY=X,LONG,0.005119790341035117,159.10922616040145,103750.08695633626,104060.04228991797,-0.0029786201000970847
2023-07-06,USDJPY=X,LONG,0.012410465940762224,386.27607615681904,104136.36303249309,104136.36303249309,0.0
2023-08-23,USDJPY=X,LONG,-0.005210220996909093,-162.772039564093,103973.59099292899,104136.36303249309,-0.0015630662990727684
2023-09-29,GBPUSD=X,SHORT,0.014047157812329522,438.1600322976831,104411.75102522668,104411.75102522668,0.0
2023-09-29,USDJPY=X,LONG,0.006572636656607968,205.87815065070882,104617.62917587739,104617.62917587739,0.0
2023-10-05,GBPUSD=X,SHORT,-0.006941639489897522,-217.8653598080177,104399.76381606938,104617.62917587739,-0.002082491846969181
2024-04-05,USDJPY=X,LONG,0.0008957199262844315,28.053884624832513,104427.81770069421,104617.62917587739,-0.0018143354679168722
2024-04-19,USDJPY=X,LONG,0.0043469170919698385,136.18171969207742,104563.99942038629,104617.62917587739,-0.0005126263700827582
2024-04-24,GBPUSD=X,SHORT,-0.008471223679557573,-265.7355083757662,104298.26391201052,104617.62917587739,-0.003052690702156635
2024-04-29,USDJPY=X,LONG,0.0115623052720994,361.77851001019616,104660.0424220207,104660.0424220207,0.0
2024-05-02,USDJPY=X,LONG,0.00014695554797742894,4.614112165640703,104664.65653418635,104664.65653418635,0.0
2024-11-18,USDJPY=X,LONG,-0.01112413502205042,-349.2911313968462,104315.3654027895,104664.65653418635,-0.0033372405066152133
2025-08-04,USDJPY=X,LONG,-4.072130949928808e-05,-1.2743574840294958,104314.09104530547,104664.65653418635,-0.0033494161304238323
2025-10-15,USDJPY=X,LONG,-0.008815737563663736,-275.8816952542615,104038.20935005121,104664.65653418635,-0.005985279127443732
2025-11-06,GBPUSD=X,SHORT,0.0030645164348791477,95.6480407225888,104133.8573907738,104664.65653418635,-0.005071426792855993
2025-11-21,USDJPY=X,LONG,-0.0030369801354605936,-94.8757368973999,104038.9816538764,104664.65653418635,-0.005977900286765703
2026-03-31,USDJPY=X,LONG,0.006405519399798633,199.9271145957598,104238.90876847216,104664.65653418635,-0.004067731933703245
2026-04-08,GBPUSD=X,SHORT,-0.006816438692071269,-213.1614392846102,104025.74732918755,104664.65653418635,-0.00610434530772197
