pair,side,signal_date,entry_date,exit_date,exit_year,exit_time,entry_price,exit_price,initial_stop,final_stop,exit_reason,bar_hold_days,calendar_hold_days,gross_return,spread_cost_pct,net_return,win,signal_close,signal_ma,signal_atr,signal_prev_high,signal_prev_low,breakout_days,ma_days,atr_days,atr_mult,max_hold_days
GBPUSD=X,SHORT,2018-12-12,2018-12-13,2018-12-18,2018,1545091200,1.262482762336731,1.269422973905291,1.2774420806339808,1.269422973905291,ATR_STOP,4,5,-0.005497272339555991,9.505080273562852e-05,-0.005592323142291619,False,1.2492972612380981,1.327712751030922,0.012466098581041609,1.3296104669570923,1.2503751516342163,60,200,14,1.2,20
GBPUSD=X,SHORT,2019-05-23,2019-05-24,2019-06-04,2019,1559606400,1.2664639949798584,1.266992974281311,1.2797777346202306,1.266992974281311,ATR_STOP,8,11,-0.0004176820687753495,9.47520028012391e-05,-0.0005124340715765886,False,1.2664159536361694,1.2959153193235398,0.01109478303364345,1.3348817825317383,1.268617033958435,60,200,14,1.2,20
GBPUSD=X,SHORT,2019-06-18,2019-06-19,2019-06-20,2019,1560988800,1.2566444873809814,1.2638724735804967,1.265786385536194,1.2638724735804967,ATR_STOP,2,1,-0.005751814671609603,9.54924015543142e-05,-0.005847307073163917,False,1.2541544437408447,1.2940850311517715,0.007618248462677002,1.3261544704437256,1.2555242776870728,60,200,14,1.2,20
GBPUSD=X,SHORT,2019-07-29,2019-07-30,2019-08-16,2019,1565913600,1.2217471599578857,1.2145739044461932,1.2347288165773664,1.2145739044461932,ATR_STOP,14,17,0.0058713093402564835,9.821999504720475e-05,0.005773089345209279,True,1.2376697063446045,1.286232452392578,0.010818047182900565,1.3176966905593872,1.2377768754959106,60,200,14,1.2,20
GBPUSD=X,SHORT,2020-03-16,2020-03-17,2020-03-20,2020,1584662400,1.2269337177276611,1.1813209738050188,1.2506890978131975,1.1813209738050188,ATR_STOP,4,3,0.03717620867663439,9.780479439610287e-05,0.037078403882238285,True,1.2399870157241821,1.2710137259960175,0.019796150071280345,1.3281975984573364,1.2400639057159424,60,200,14,1.2,20
USDJPY=X,LONG,2021-02-17,2021-02-18,2021-02-22,2021,1613952000,105.85600280761719,105.2018561226981,105.10763113839286,105.2018561226981,ATR_STOP,3,4,-0.00617958989163733,5.6680772378156075e-05,-0.006236270664015486,False,106.10299682617188,105.51689464569091,0.623643057686942,105.86799621582031,102.58999633789062,60,200,14,1.2,20
USDJPY=X,LONG,2021-02-26,2021-03-01,2021-03-23,2021,1616457600,106.4739990234375,108.55208740234374,105.59482792445591,108.55208740234374,ATR_STOP,17,22,0.019517331911698056,5.635178592925072e-05,0.019460980125768804,True,106.37899780273438,105.45538467407226,0.732642582484654,106.28600311279297,102.58999633789062,60,200,14,1.2,20
USDJPY=X,LONG,2021-03-30,2021-03-31,2021-04-05,2021,1617580800,110.29299926757812,110.26103166852678,109.60694165910994,110.26103166852678,ATR_STOP,4,5,-0.0002898425037276048,5.440055162017675e-05,-0.0003442430553477815,False,109.83599853515625,105.539889793396,0.5717146737234933,109.83399963378906,102.58999633789062,60,200,14,1.2,20
USDJPY=X,LONG,2021-07-01,2021-07-02,2021-07-05,2021,1625443200,111.58399963378906,110.94465441022601,110.86785518101283,110.94465441022601,ATR_STOP,2,3,-0.005729721336942047,5.377115016213421e-05,-0.005783492487104181,False,111.1240005493164,106.61774475097656,0.5967870439801898,111.09500122070312,107.47000122070312,60,200,14,1.2,20
USDJPY=X,LONG,2021-09-30,2021-10-01,2021-10-21,2021,1634774400,111.46399688720703,113.7297127859933,110.59519740513393,113.7297127859933,ATR_STOP,15,20,0.020326885470283274,5.382904047547781e-05,0.020273056429807795,True,111.93599700927734,108.38715965270995,0.7239995683942523,111.91699981689453,108.72899627685547,60,200,14,1.2,20
