position_fraction,year,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,best_trade,worst_trade,final_equity,total_equity_return,max_drawdown
0.3,2024,1,1,0,0.0,-0.01112414,-0.01112414,-0.01112414,0.0,-0.01112414,-0.01112414,99666.28,-0.00333724,-0.00333724
0.3,2025,4,3,1,0.25,-0.00220723,-0.00153885,-0.00882892,0.257664,0.00306452,-0.00881574,99735.05,-0.0026495,-0.00265691
0.3,2026,2,1,1,0.5,-0.00020546,-0.00020546,-0.00041092,0.939716,0.00640552,-0.00681644,99987.28,-0.00012721,-0.00204493
0.5,2024,1,1,0,0.0,-0.01112414,-0.01112414,-0.01112414,0.0,-0.01112414,-0.01112414,99443.79,-0.00556207,-0.00556207
0.5,2025,4,3,1,0.25,-0.00220723,-0.00153885,-0.00882892,0.257664,0.00306452,-0.00881574,99558.33,-0.00441675,-0.00442814
0.5,2026,2,1,1,0.5,-0.00020546,-0.00020546,-0.00041092,0.939716,0.00640552,-0.00681644,99978.36,-0.00021638,-0.00340822
0.7,2024,1,1,0,0.0,-0.01112414,-0.01112414,-0.01112414,0.0,-0.01112414,-0.01112414,99221.31,-0.00778689,-0.00778689
0.7,2025,4,3,1,0.25,-0.00220723,-0.00153885,-0.00882892,0.257664,0.00306452,-0.00881574,99381.53,-0.00618472,-0.00619935
0.7,2026,2,1,1,0.5,-0.00020546,-0.00020546,-0.00041092,0.939716,0.00640552,-0.00681644,99969.1,-0.00030904,-0.00477151
1.0,2024,1,1,0,0.0,-0.01112414,-0.01112414,-0.01112414,0.0,-0.01112414,-0.01112414,98887.59,-0.01112414,-0.01112414
1.0,2025,4,3,1,0.25,-0.00220723,-0.00153885,-0.00882892,0.257664,0.00306452,-0.00881574,99116.2,-0.00883803,-0.0088561
1.0,2026,2,1,1,0.5,-0.00020546,-0.00020546,-0.00041092,0.939716,0.00640552,-0.00681644,99954.54,-0.00045458,-0.00681644
1.5,2024,1,1,0,0.0,-0.01112414,-0.01112414,-0.01112414,0.0,-0.01112414,-0.01112414,98331.38,-0.0166862,-0.0166862
1.5,2025,4,3,1,0.25,-0.00220723,-0.00153885,-0.00882892,0.257664,0.00306452,-0.00881574,98673.62,-0.01326379,-0.01328388
1.5,2026,2,1,1,0.5,-0.00020546,-0.00020546,-0.00041092,0.939716,0.00640552,-0.00681644,99928.54,-0.00071462,-0.01022466
2.0,2024,1,1,0,0.0,-0.01112414,-0.01112414,-0.01112414,0.0,-0.01112414,-0.01112414,97775.17,-0.02224827,-0.02224827
2.0,2025,4,3,1,0.25,-0.00220723,-0.00153885,-0.00882892,0.257664,0.00306452,-0.00881574,98230.6,-0.01769395,-0.01771148
2.0,2026,2,1,1,0.5,-0.00020546,-0.00020546,-0.00041092,0.939716,0.00640552,-0.00681644,99900.35,-0.00099649,-0.01363288
