run_id,pullback_pct,tp_pct,sl_pct,hold_days,rsi_long_max,rsi_short_min,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,final_equity,total_equity_return,max_drawdown,score,wf_id
607,0.005,0.01,0.006,9,40,50,70,8,62,0.471429,0.00126965,-0.00232158,0.08887539,1.420903,102683.05,0.02683052,-0.00908362,0.03226011,1
499,0.005,0.008,0.006,9,40,50,71,8,63,0.507042,0.00112976,0.00483378,0.080213,1.396492,102419.71,0.02419708,-0.00908364,0.02822777,1
283,0.003,0.01,0.006,9,40,50,74,8,66,0.459459,0.00109012,-0.00439393,0.08066865,1.351765,102429.59,0.0242959,-0.00908362,0.02793018,1
604,0.005,0.01,0.006,9,35,50,62,0,62,0.467742,0.00116553,-0.00439393,0.07226271,1.378184,102174.67,0.02174672,-0.00792417,0.02706266,1
496,0.005,0.008,0.006,9,35,50,63,0,63,0.507937,0.00108906,0.00483378,0.06861087,1.376505,102065.52,0.02065515,-0.00727371,0.02572679,1
598,0.005,0.01,0.006,7,40,50,70,8,62,0.485714,0.00106076,-0.00065855,0.07425327,1.362819,102235.0,0.02235003,-0.00908362,0.02569075,1
490,0.005,0.008,0.006,7,40,50,71,8,63,0.521127,0.00103012,0.00240507,0.07313864,1.368424,102203.26,0.02203262,-0.00908364,0.02506693,1
922,0.007,0.01,0.006,7,40,50,56,8,48,0.5,0.00120274,-0.00100194,0.06735358,1.403564,102026.5,0.02026502,-0.00908362,0.02502555,1
218,0.003,0.01,0.004,4,35,55,31,0,31,0.483871,0.00146837,-0.00403266,0.04551958,1.701294,101369.33,0.01369329,-0.00554821,0.02393845,1
595,0.005,0.01,0.006,7,35,50,62,0,62,0.467742,0.00104172,-0.00216203,0.06458679,1.346369,101940.48,0.01940483,-0.00792417,0.02348271,1
919,0.007,0.01,0.006,7,35,50,48,0,48,0.479167,0.00120181,-0.00454311,0.05768711,1.387921,101732.58,0.01732582,-0.00792417,0.02300463,1
487,0.005,0.008,0.006,7,35,50,63,0,63,0.507937,0.00099383,0.00240507,0.06261121,1.347204,101882.43,0.01882432,-0.00727371,0.02294364,1
280,0.003,0.01,0.006,9,35,50,66,0,66,0.454545,0.00097054,-0.00603249,0.06405596,1.306123,101922.46,0.01922465,-0.00826942,0.02231456,1
925,0.007,0.01,0.006,7,45,50,65,17,48,0.492308,0.00103921,-0.00305379,0.06754853,1.342456,102030.26,0.02030257,-0.01088324,0.02198807,1
274,0.003,0.01,0.006,7,40,50,74,8,66,0.472973,0.00091151,-0.00216203,0.0674515,1.302707,102025.59,0.02025594,-0.00968024,0.02162682,1
391,0.005,0.006,0.006,9,40,50,77,8,69,0.571429,0.000866,0.00590724,0.06668163,1.34293,102008.07,0.02008066,-0.00926668,0.02132727,1
221,0.003,0.01,0.004,4,40,55,39,8,31,0.461538,0.00122941,-0.00403405,0.04794718,1.562366,101441.87,0.01441866,-0.00676461,0.02130112,1
931,0.007,0.01,0.006,9,40,50,56,8,48,0.446429,0.00105488,-0.00439391,0.05907344,1.33812,101772.93,0.01772928,-0.00908362,0.02101121,1
175,0.003,0.008,0.006,9,40,50,78,8,70,0.487179,0.00084412,-0.00104031,0.06584172,1.28313,101977.67,0.0197767,-0.00921492,0.02084601,1
284,0.003,0.01,0.006,9,40,55,37,8,29,0.459459,0.00137806,-0.00188776,0.0509884,1.47005,101531.45,0.01531455,-0.01152795,0.01987284,1
271,0.003,0.01,0.006,7,35,50,66,0,66,0.454545,0.00087553,-0.00454313,0.05778503,1.282375,101731.68,0.01731677,-0.00792417,0.01973274,1
814,0.007,0.008,0.006,7,40,50,57,8,49,0.526316,0.00096849,0.00240507,0.05520384,1.343296,101657.88,0.01657882,-0.00908364,0.01899679,1
388,0.005,0.006,0.006,9,35,50,69,0,69,0.565217,0.00080072,0.00590703,0.05524953,1.313458,101660.12,0.01660122,-0.00745709,0.01864273,1
589,0.005,0.01,0.006,5,40,50,70,8,62,0.5,0.00086886,-7.275e-05,0.0608202,1.306048,101825.46,0.01825455,-0.01051429,0.01853173,1
715,0.007,0.006,0.006,9,40,50,61,8,53,0.57377,0.00091305,0.00590724,0.05569582,1.366637,101675.07,0.01675066,-0.00922528,0.01850089,1
236,0.003,0.01,0.004,7,35,55,31,0,31,0.419355,0.00125431,-0.00403266,0.03888358,1.563634,101167.43,0.01167431,-0.00741068,0.01828886,1
230,0.003,0.01,0.004,5,40,55,39,8,31,0.410256,0.00108673,-0.00403405,0.04238251,1.466358,101272.29,0.01272293,-0.00676461,0.01817855,1
227,0.003,0.01,0.004,5,35,55,31,0,31,0.419355,0.0012463,-0.00403266,0.03863536,1.547801,101159.87,0.01159867,-0.00741068,0.01813314,1
823,0.007,0.008,0.006,9,40,50,57,8,49,0.491228,0.00093053,-0.00019287,0.05304029,1.319781,101591.52,0.01591517,-0.00908364,0.01795357,1
